protocol,connection_time,latency_avg,latency_min,latency_max,latency_mdev,packet_loss,jitter,throughput,file_transfer_time,cpu_usage_h1,mem_usage_h1,cpu_usage_h2,mem_usage_h2
PPTP,3.263378620147705,68.84,62.5,89.8,7.5958804624612135,0.0,7.068421052631576,,0.1291491985321045,2.4,46.67,3.2,46.65
L2TP,4.246028661727905,65.22000000000001,61.5,76.2,3.6583602884352446,0.0,4.542105263157896,,0.1311330795288086,3.4,46.67,3.4,46.67
PPTP,4.47687292098999,65.39500000000001,61.5,79.1,4.4587526282582655,0.0,4.394736842105262,,0.13397836685180664,3.6,46.7,3.8,46.7
L2TP,4.479539155960083,65.34000000000002,61.5,73.2,3.2909573075322633,0.0,3.9684210526315806,,0.12627553939819336,2.8,46.77,3.0,46.77
PPTP,3.697936773300171,67.52000000000001,62.5,86.9,6.8319543324000644,0.0,7.063157894736844,,0.13413500785827637,2.8,46.8,3.0,46.77
L2TP,4.214085578918457,66.80499999999999,61.5,79.1,5.696882919632453,0.0,5.326315789473684,,0.13498759269714355,2.7,46.82,2.7,46.82
PPTP,3.475353479385376,67.49000000000001,61.5,79.1,4.26109140948654,0.0,5.56315789473684,,0.13886713981628418,3.1,46.98,2.9,46.98
L2TP,3.464097499847412,68.51,61.5,99.6,8.878789331885287,0.0,8.51052631578947,,0.1271800994873047,3.3,46.77,2.7,46.77
PPTP,3.4880685806274414,67.18500000000002,61.5,83.0,6.134026002553299,0.0,5.757894736842106,,0.1296684741973877,2.4,46.67,2.6,46.67
L2TP,4.446448564529419,65.495,60.8,90.8,6.773881826545249,0.0,4.784210526315789,,0.13044071197509766,3.0,46.7,3.5,46.7
PPTP,4.514352798461914,66.84,61.5,85.9,6.281353357358588,0.0,6.363157894736841,,0.13598370552062988,2.3,46.72,2.4,46.72
L2TP,3.698579788208008,66.40000000000002,60.9,87.2,6.545532827814707,0.0,5.4105263157894745,,0.13500547409057617,3.8,46.72,3.1,46.72
PPTP,4.676106214523315,66.455,61.5,84.0,5.788218637888517,0.0,7.000000000000003,,0.14183712005615234,3.0,46.77,9.1,47.18
L2TP,4.519340515136719,64.82000000000002,61.1,69.4,2.4612192100664263,0.0,2.2473684210526317,,0.13400793075561523,2.8,46.7,3.4,46.7
PPTP,4.744492053985596,65.16499999999999,61.5,81.0,4.509575922412218,0.0,3.978947368421054,,0.12814879417419434,3.3,46.72,3.5,46.72
L2TP,4.106329679489136,64.38500000000002,60.5,69.3,2.70097667520473,0.0,1.942105263157894,,0.13048315048217773,4.4,46.72,4.5,46.72
PPTP,3.122316837310791,65.35999999999999,60.8,74.2,3.9018457170933867,0.0,4.415789473684212,,0.12912464141845703,1.8,46.75,3.0,46.75
L2TP,3.1375861167907715,65.5,61.5,74.3,3.5920746094701315,0.0,3.863157894736843,,0.1272280216217041,3.4,46.77,3.3,46.77
PPTP,3.37799334526062,66.285,61.8,87.9,6.231795487658434,0.0,6.1684210526315795,,0.12945342063903809,3.5,46.8,3.3,46.8
L2TP,4.614389181137085,64.33000000000001,61.5,71.3,2.6389581277466303,0.0,3.242105263157896,,0.1271800994873047,3.3,46.88,3.2,46.85
